neural_subject,behavior_subject,roi,metric,spearman_r,same_subject
sub-001,sub-004,RH_IFG,cosine,-0.010490910715325368,False
sub-001,sub-004,RH_MFG,correlation,-0.018650857889890262,False
sub-001,sub-004,RH_MFG,euclidean,-0.010800426940305355,False
sub-001,sub-004,RH_MFG,cosine,-0.018650857889890262,False
sub-001,sub-004,RH_AntTemp,correlation,0.14867859537158454,False
sub-001,sub-004,RH_AntTemp,euclidean,0.0354778320118596,False
sub-001,sub-004,RH_AntTemp,cosine,0.14867859537158454,False
sub-001,sub-004,RH_PostTemp,correlation,0.14675306658990978,False
sub-001,sub-004,RH_PostTemp,euclidean,0.09797720353922454,False
sub-001,sub-004,RH_PostTemp,cosine,0.14678914341169286,False
sub-001,sub-004,ALL,correlation,0.07414760377957201,False
sub-001,sub-004,ALL,euclidean,0.015343815893110567,False
sub-001,sub-004,ALL,cosine,0.07429477430652826,False
sub-002,sub-001,LH_IFGorb,correlation,0.14091302084656707,False
sub-002,sub-001,LH_IFGorb,euclidean,0.08652588024620046,False
sub-002,sub-001,LH_IFGorb,cosine,0.14091302084656707,False
sub-002,sub-001,LH_IFG,correlation,0.08708919605578365,False
sub-002,sub-001,LH_IFG,euclidean,0.10060734575022283,False
sub-002,sub-001,LH_IFG,cosine,0.08708919605578365,False
sub-002,sub-001,LH_MFG,correlation,0.04570264087810722,False
sub-002,sub-001,LH_MFG,euclidean,0.04179889091240688,False
sub-002,sub-001,LH_MFG,cosine,0.04570264087810722,False
sub-002,sub-001,LH_AntTemp,correlation,0.1059165257687665,False
sub-002,sub-001,LH_AntTemp,euclidean,0.10048724796340816,False
sub-002,sub-001,LH_AntTemp,cosine,0.1059165257687665,False
sub-002,sub-001,LH_PostTemp,correlation,0.0011706674743317605,False
sub-002,sub-001,LH_PostTemp,euclidean,-0.002755386366062737,False
sub-002,sub-001,LH_PostTemp,cosine,0.0011706674743317605,False
sub-002,sub-001,RH_IFGorb,correlation,0.13459501941878002,False
sub-002,sub-001,RH_IFGorb,euclidean,0.10597628871506239,False
sub-002,sub-001,RH_IFGorb,cosine,0.13459501941878002,False
sub-002,sub-001,RH_IFG,correlation,0.13028779807880458,False
sub-002,sub-001,RH_IFG,euclidean,0.0793191551959847,False
sub-002,sub-001,RH_IFG,cosine,0.13027121314633974,False
sub-002,sub-001,RH_MFG,correlation,0.1710298284672422,False
sub-002,sub-001,RH_MFG,euclidean,0.10699997937410188,False
sub-002,sub-001,RH_MFG,cosine,0.1710298284672422,False
sub-002,sub-001,RH_AntTemp,correlation,0.26990890987577937,False
sub-002,sub-001,RH_AntTemp,euclidean,0.24544499070162712,False
sub-002,sub-001,RH_AntTemp,cosine,0.26994694084160403,False
sub-002,sub-001,RH_PostTemp,correlation,0.08274451564420653,False
sub-002,sub-001,RH_PostTemp,euclidean,0.039835863992209626,False
sub-002,sub-001,RH_PostTemp,cosine,0.08274451564420653,False
sub-002,sub-001,ALL,correlation,0.13963283562854478,False
sub-002,sub-001,ALL,euclidean,0.08811803376282949,False
sub-002,sub-001,ALL,cosine,0.13963283562854478,False
sub-002,sub-002,LH_IFGorb,correlation,0.06182085020501356,True
sub-002,sub-002,LH_IFGorb,euclidean,0.056189228335829226,True
sub-002,sub-002,LH_IFGorb,cosine,0.06182085020501356,True
sub-002,sub-002,LH_IFG,correlation,0.04230180325415095,True
sub-002,sub-002,LH_IFG,euclidean,0.09501424157262087,True
sub-002,sub-002,LH_IFG,cosine,0.04230180325415095,True
sub-002,sub-002,LH_MFG,correlation,-0.047945723738895205,True
sub-002,sub-002,LH_MFG,euclidean,0.02450113030989369,True
sub-002,sub-002,LH_MFG,cosine,-0.047945723738895205,True
sub-002,sub-002,LH_AntTemp,correlation,0.053040782752488386,True
sub-002,sub-002,LH_AntTemp,euclidean,0.13019657648915187,True
sub-002,sub-002,LH_AntTemp,cosine,0.053040782752488386,True
sub-002,sub-002,LH_PostTemp,correlation,-0.0993207591188021,True
sub-002,sub-002,LH_PostTemp,euclidean,-0.11214278087581242,True
sub-002,sub-002,LH_PostTemp,cosine,-0.0993207591188021,True
sub-002,sub-002,RH_IFGorb,correlation,-0.02688934984304195,True
sub-002,sub-002,RH_IFGorb,euclidean,0.0973003539951902,True
sub-002,sub-002,RH_IFGorb,cosine,-0.02688934984304195,True
sub-002,sub-002,RH_IFG,correlation,-0.03443354943895231,True
sub-002,sub-002,RH_IFG,euclidean,-0.010005352779472136,True
sub-002,sub-002,RH_IFG,cosine,-0.03443354943895231,True
sub-002,sub-002,RH_MFG,correlation,0.001127182416782908,True
sub-002,sub-002,RH_MFG,euclidean,-0.029026162793000104,True
sub-002,sub-002,RH_MFG,cosine,0.001127182416782908,True
sub-002,sub-002,RH_AntTemp,correlation,0.08947814848476245,True
sub-002,sub-002,RH_AntTemp,euclidean,0.08815476024765144,True
sub-002,sub-002,RH_AntTemp,cosine,0.08947814848476245,True
sub-002,sub-002,RH_PostTemp,correlation,-0.04450010928190873,True
sub-002,sub-002,RH_PostTemp,euclidean,-0.030901272644415667,True
sub-002,sub-002,RH_PostTemp,cosine,-0.04450010928190873,True
sub-002,sub-002,ALL,correlation,-0.026259832334962988,True
sub-002,sub-002,ALL,euclidean,-0.019813927709985468,True
sub-002,sub-002,ALL,cosine,-0.026259832334962988,True
sub-002,sub-003,LH_IFGorb,correlation,0.053509987589548745,False
sub-002,sub-003,LH_IFGorb,euclidean,0.05932619741277237,False
sub-002,sub-003,LH_IFGorb,cosine,0.053509987589548745,False
sub-002,sub-003,LH_IFG,correlation,-0.06908417164333423,False
sub-002,sub-003,LH_IFG,euclidean,0.016935157150715686,False
sub-002,sub-003,LH_IFG,cosine,-0.06908417164333423,False
sub-002,sub-003,LH_MFG,correlation,-0.06415146566552488,False
sub-002,sub-003,LH_MFG,euclidean,-0.050449726857211476,False
sub-002,sub-003,LH_MFG,cosine,-0.06415146566552488,False
sub-002,sub-003,LH_AntTemp,correlation,-0.10278447145963576,False
sub-002,sub-003,LH_AntTemp,euclidean,-0.007459778425688978,False
sub-002,sub-003,LH_AntTemp,cosine,-0.10278447145963576,False
sub-002,sub-003,LH_PostTemp,correlation,-0.09833723541499549,False
sub-002,sub-003,LH_PostTemp,euclidean,-0.032909375287159634,False
sub-002,sub-003,LH_PostTemp,cosine,-0.09833723541499549,False
sub-002,sub-003,RH_IFGorb,correlation,-0.08460492257322177,False
sub-002,sub-003,RH_IFGorb,euclidean,0.02340599417634684,False
sub-002,sub-003,RH_IFGorb,cosine,-0.08460492257322177,False
sub-002,sub-003,RH_IFG,correlation,-0.03567418227559058,False
sub-002,sub-003,RH_IFG,euclidean,0.0537954404813886,False
sub-002,sub-003,RH_IFG,cosine,-0.03571875750194394,False
sub-002,sub-003,RH_MFG,correlation,-0.09900929267386172,False
sub-002,sub-003,RH_MFG,euclidean,-0.012199039350669917,False
sub-002,sub-003,RH_MFG,cosine,-0.09900929267386172,False
sub-002,sub-003,RH_AntTemp,correlation,-0.05587676066573452,False
sub-002,sub-003,RH_AntTemp,euclidean,0.03982396440591122,False
sub-002,sub-003,RH_AntTemp,cosine,-0.055868474245450876,False
sub-002,sub-003,RH_PostTemp,correlation,-0.05107063690122351,False
sub-002,sub-003,RH_PostTemp,euclidean,-0.047657774698885866,False
sub-002,sub-003,RH_PostTemp,cosine,-0.05107063690122351,False
sub-002,sub-003,ALL,correlation,-0.03738375650169457,False
sub-002,sub-003,ALL,euclidean,-0.034454078323482254,False
sub-002,sub-003,ALL,cosine,-0.03738375650169457,False
sub-002,sub-004,LH_IFGorb,correlation,0.14793014448157743,False
sub-002,sub-004,LH_IFGorb,euclidean,0.039191167739672225,False
sub-002,sub-004,LH_IFGorb,cosine,0.14793014448157743,False
sub-002,sub-004,LH_IFG,correlation,-0.008193447080506297,False
sub-002,sub-004,LH_IFG,euclidean,-0.05610976553601122,False
sub-002,sub-004,LH_IFG,cosine,-0.008193447080506297,False
sub-002,sub-004,LH_MFG,correlation,-0.01925843738055403,False
sub-002,sub-004,LH_MFG,euclidean,-0.10540358867086742,False
sub-002,sub-004,LH_MFG,cosine,-0.01925843738055403,False
sub-002,sub-004,LH_AntTemp,correlation,-0.02485177637683899,False
sub-002,sub-004,LH_AntTemp,euclidean,-0.03264064767020679,False
sub-002,sub-004,LH_AntTemp,cosine,-0.02485177637683899,False
sub-002,sub-004,LH_PostTemp,correlation,-0.09548045841265147,False
sub-002,sub-004,LH_PostTemp,euclidean,-0.13870220885264126,False
sub-002,sub-004,LH_PostTemp,cosine,-0.09548045841265147,False
sub-002,sub-004,RH_IFGorb,correlation,0.07704548880549472,False
