random_subid,subid,condition, cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset
,,emotion_word,2,45,9,calm,4,low,high,200,202,302.1646,102.1597,200.0049,202.0049
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,202,204,304.1646,102.1597,202.0049,204.0049
,,emotion_word,2,46,18,aroused,1,high ,high,204,206,306.1647,102.1597,204.005,206.005
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,206,208,308.1647,102.1597,206.005,208.005
,,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,208,218,310.1605,102.1597,208.0008,218.0008
,,emotion_word,2,47,2,alarmed,2,high,low,218,220,320.1648,102.1597,218.0051,220.0051
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,220,222,322.1648,102.1597,220.0051,222.0051
,,emotion_word,2,48,8,afraid,2,high,low,222,224,324.1644,102.1597,222.0047,224.0047
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,224,226,326.1644,102.1597,224.0047,226.0047
,,emotion_word,2,49,24,miserable,3,low,low,226,228,328.1654,102.1597,226.0057,228.0057
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,228,230,330.1654,102.1597,228.0057,230.0057
,,emotion_word,2,50,17,bored,3,low,low,230,232,332.166,102.1597,230.0063,232.0063
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,232,234,334.166,102.1597,232.0063,234.0063
,,emotion_word,2,51,14,droopy,3,low,low,234,236,336.165,102.1597,234.0053,236.0053
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,236,238,338.165,102.1597,236.0053,238.0053
,,emotion_word,2,52,19,glad,1,high ,high,238,240,340.1642,102.1597,238.0045,240.0045
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,240,242,342.1642,102.1597,240.0045,242.0045
,,emotion_word,2,53,10,sleepy,4,low,high,242,244,344.1642,102.1597,242.0045,244.0045
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,244,246,346.1642,102.1597,244.0045,246.0045
,,emotion_word,2,54,20,serene,4,low,high,246,248,348.1646,102.1597,246.0049,248.0049
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,248,250,350.1646,102.1597,248.0049,250.0049
,,emotion_word,2,55,6,satisfied,4,low,high,250,252,352.1651,102.1597,250.0054,252.0054
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,252,254,354.1651,102.1597,252.0054,254.0054
,,emotion_word,2,56,5,annoyed,2,high,low,254,256,356.1644,102.1597,254.0047,256.0047
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,256,258,358.1644,102.1597,256.0047,258.0047
,,emotion_word,2,57,18,aroused,1,high ,high,258,260,360.1659,102.1597,258.0062,260.0062
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,260,262,362.1659,102.1597,260.0062,262.0062
,,emotion_word,2,58,16,excited,1,high ,high,262,264,364.1643,102.1597,262.0046,264.0046
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,264,266,366.1643,102.1597,264.0046,266.0046
,,emotion_word,2,59,15,tired,3,low,low,266,268,368.1651,102.1597,266.0054,268.0054
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,268,270,370.1651,102.1597,268.0054,270.0054
,,emotion_word,2,60,2,alarmed,2,high,low,270,272,372.1649,102.1597,270.0052,272.0052
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,272,274,374.1649,102.1597,272.0052,274.0052
,,emotion_word,2,61,9,calm,4,low,high,274,276,376.1648,102.1597,274.0051,276.0051
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,276,278,378.1648,102.1597,276.0051,278.0051
,,emotion_word,2,62,12,content,4,low,high,278,280,380.1648,102.1597,278.0051,280.0051
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,280,282,382.1648,102.1597,280.0051,282.0051
,,emotion_word,2,63,3,pleased,4,low,high,282,284,384.1653,102.1597,282.0056,284.0056
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,284,286,386.1653,102.1597,284.0056,286.0056
,,emotion_word,2,64,13,angry,2,high,low,286,288,388.1639,102.1597,286.0042,288.0042
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,288,290,390.1639,102.1597,288.0042,290.0042
,,emotion_word,2,65,1,depressed,3,low,low,290,292,392.1654,102.1597,290.0057,292.0057
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,292,294,394.1654,102.1597,292.0057,294.0057
,,emotion_word,2,66,22,delighted,1,high ,high,294,296,396.164,102.1597,294.0043,296.0043
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,296,298,398.164,102.1597,296.0043,298.0043
,,emotion_word,2,67,21,amused,1,high ,high,298,300,400.164,102.1597,298.0043,300.0043
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,300,302,402.164,102.1597,300.0043,302.0043
,,emotion_word,2,68,7,astonished,1,high ,high,302,304,404.1654,102.1597,302.0057,304.0057
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,304,306,406.1654,102.1597,304.0057,306.0057
,,emotion_word,2,69,23,gloomy,3,low,low,306,308,408.1641,102.1597,306.0044,308.0044
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,308,310,410.1641,102.1597,308.0044,310.0044
,,emotion_word,2,70,4,distressed,2,high,low,310,312,412.1663,102.1597,310.0066,312.0066
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,312,314,414.1663,102.1597,312.0066,314.0066
,,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,314,324,416.1609,102.1597,314.0012,324.0012
,,emotion_word,2,71,11,frustrated,2,high,low,324,326,426.1642,102.1597,324.0045,326.0045
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,326,328,428.1642,102.1597,326.0045,328.0045
