random_subid,subid,condition,cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset,code_end_time,adjusted_code_end_time,expected_recorded_onset_diff
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,42,14,droopy,3,low,low,188,190,210.5699,22.5649,188.005,190.005,350.5665,328.0016,0.005
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,43,12,content,4,low,high,192,194,214.5696,22.5649,192.0047,194.0047,350.5665,328.0016,0.0047
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,44,7,astonished,1,high ,high,196,198,218.5709,22.5649,196.006,198.006,350.5665,328.0016,0.006
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,45,9,calm,4,low,high,200,202,222.571,22.5649,200.0061,202.0061,350.5665,328.0016,0.0061
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,46,18,aroused,1,high ,high,204,206,226.5704,22.5649,204.0055,206.0055,350.5665,328.0016,0.0055
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,47,2,alarmed,2,high,low,208,210,230.5692,22.5649,208.0043,210.0043,350.5665,328.0016,0.0043
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,48,8,afraid,2,high,low,222,224,244.5708,22.5649,222.0059,224.0059,350.5665,328.0016,0.0059
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,49,24,miserable,3,low,low,226,228,248.57,22.5649,226.0051,228.0051,350.5665,328.0016,0.0051
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,50,17,bored,3,low,low,230,232,252.5708,22.5649,230.0059,232.0059,350.5665,328.0016,0.0059
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,51,14,droopy,3,low,low,234,236,256.5699,22.5649,234.005,236.005,350.5665,328.0016,0.005
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,52,19,glad,1,high ,high,238,240,260.5705,22.5649,238.0056,240.0056,350.5665,328.0016,0.0056
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,53,10,sleepy,4,low,high,242,244,264.5698,22.5649,242.0049,244.0049,350.5665,328.0016,0.0049
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,54,20,serene,4,low,high,246,248,268.57,22.5649,246.0051,248.0051,350.5665,328.0016,0.0051
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,55,6,satisfied,4,low,high,250,252,272.5701,22.5649,250.0052,252.0052,350.5665,328.0016,0.0052
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,56,5,annoyed,2,high,low,254,256,276.571,22.5649,254.0061,256.0061,350.5665,328.0016,0.0061
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,57,18,aroused,1,high ,high,258,260,280.5708,22.5649,258.0059,260.0059,350.5665,328.0016,0.0059
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,58,16,excited,1,high ,high,262,264,284.5699,22.5649,262.005,264.005,350.5665,328.0016,0.005
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,59,15,tired,3,low,low,266,268,288.5707,22.5649,266.0058,268.0058,350.5665,328.0016,0.0058
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,60,2,alarmed,2,high,low,270,272,292.5703,22.5649,270.0054,272.0054,350.5665,328.0016,0.0054
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,61,9,calm,4,low,high,274,276,296.5696,22.5649,274.0047,276.0047,350.5665,328.0016,0.0047
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,62,12,content,4,low,high,278,280,300.5682,22.5649,278.0033,280.0033,350.5665,328.0016,0.0033
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,63,3,pleased,4,low,high,282,284,304.57,22.5649,282.0051,284.0051,350.5665,328.0016,0.0051
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,64,13,angry,2,high,low,286,288,308.5712,22.5649,286.0063,288.0063,350.5665,328.0016,0.0063
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,65,1,depressed,3,low,low,290,292,312.5695,22.5649,290.0046,292.0046,350.5665,328.0016,0.0046
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,66,22,delighted,1,high ,high,294,296,316.5705,22.5649,294.0056,296.0056,350.5665,328.0016,0.0056
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,67,21,amused,1,high ,high,298,300,320.5691,22.5649,298.0042,300.0042,350.5665,328.0016,0.0042
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,68,7,astonished,1,high ,high,302,304,324.5708,22.5649,302.0059,304.0059,350.5665,328.0016,0.0059
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,69,23,gloomy,3,low,low,306,308,328.5698,22.5649,306.0049,308.0049,350.5665,328.0016,0.0049
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,70,4,distressed,2,high,low,310,312,332.5697,22.5649,310.0048,312.0048,350.5665,328.0016,0.0048
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,71,11,frustrated,2,high,low,314,316,336.5703,22.5649,314.0054,316.0054,350.5665,328.0016,0.0054
